,#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE,lowglucoseflux,highglucoseflux
1439,,r_2748,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,0.0,0.0
1440,,r_2749,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,0.0,0.0
1441,,r_2750,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1442,,r_2751,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1443,,r_2752,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1444,,r_2753,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1445,,r_2754,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1446,,r_2755,"MLCL (1-18:0, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1447,,r_2756,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1448,,r_2757,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1449,,r_2758,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1450,,r_2759,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1451,,r_2760,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:0)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1452,,r_2761,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:1)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1453,,r_2762,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:0)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1454,,r_2763,"MLCL (1-18:0, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:1)[mm] + cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1455,,r_2764,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1456,,r_2765,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1457,,r_2766,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1458,,r_2767,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1459,,r_2768,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1460,,r_2769,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1461,,r_2770,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1462,,r_2771,"MLCL (1-18:1, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1463,,r_2772,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1464,,r_2773,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1465,,r_2774,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1466,,r_2775,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1467,,r_2776,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:0)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1468,,r_2777,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:1)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1469,,r_2778,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:0)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1470,,r_2779,"MLCL (1-18:1, 2-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:1)[mm] + cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1471,,r_2780,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1472,,r_2781,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-999.9980400000001,-999.99575
1473,,r_2782,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,999.9980400000001,999.99575
1474,,r_2783,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1475,,r_2784,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,0.0,0.0
1476,,r_2785,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1477,,r_2786,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1478,,r_2787,"MLCL (1-16:0, 2-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,0.0,0.0
1479,,r_2788,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1480,,r_2789,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1481,,r_2790,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1482,,r_2791,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-16:1)[mm] <=> cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)[mm] + 1-acylglycerophosphocholine (18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1483,,r_2792,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:0)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1484,,r_2793,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-16:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (16:1)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1485,,r_2794,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:0, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:0)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1486,,r_2795,"MLCL (1-16:0, 2-18:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)[mm] + phosphatidylcholine (1-18:1, 2-18:1)[mm] <=> 1-acylglycerophosphocholine (18:1)[mm] + cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,-1000.0,-1000.0
1487,,r_2796,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:0, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:0)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
1488,,r_2797,"MLCL (1-16:1, 2-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane","monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)[mm] + phosphatidylcholine (1-16:1, 2-16:1)[mm] <=> cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1)[mm] + 1-acylglycerophosphocholine (16:1)[mm]",2.3.1.23,YPR140W,,,,,pmid/22345606;sbo/SBO:0000176,sce00564  Glycerophospholipid metabolism,,,22345606,3.0,1000.0,1000.0
