"","Chr","Start","End","Strand","Length","wt00_sorted.bam","wt02_sorted.bam","wt05_sorted.bam","wt10_sorted.bam","wt15_sorted.bam","wt20_sorted.bam","wt30_sorted.bam","wt45_sorted.bam"
"YBL004W","II","227636","235117","+",7482,81,73,166,1465,1288,1939,2571,1367
"YBL003C","II","235394","235792","-",399,716,856,1210,797,514,544,1442,3238
"YBL002W","II","236492","236887","+",396,1016,1226,1602,698,521,757,2262,4225
"YBL001C","II","237153","237467","-",315,1235,1168,1158,1128,806,708,708,627
"YBR001C","II","238941","241283","-",2343,3150,2489,1320,554,488,486,649,481
"YBR002C","II","241708","242568","-",861,91,116,197,242,210,234,286,186
"YBR003W","II","242809","244230","+",1422,1100,916,571,324,253,193,229,323
"YBR004C","II","244366","245667","-",1302,99,128,566,269,260,227,242,182
"YBR005W","II","245906","246547","+",642,180,186,406,266,140,102,69,70
"YBR006W","II","247010","248503","+",1494,808,742,870,721,453,304,156,161
"YBR007C","II","248806","251016","-",2211,93,103,231,408,442,472,571,471
"YBR008C","II","252563","254209","-",1647,297,258,249,250,216,200,178,208
"YBR009C","II","255373","255684","-",312,1972,2127,2844,1691,788,626,2789,5490
"YBR010W","II","256331","256741","+",411,2187,2321,2795,1409,736,779,2601,3930
"YBR011C","II","257112","257975","-",864,2464,2395,2870,3850,3587,3842,4708,4549
"YBR012C","II","259147","259566","-",420,22,29,33,127,161,201,185,96
"YBR012W-B","II","259869","265140","+",5272,1961,1917,2000,2102,2105,2636,2936,2434
"YBR013C","II","265492","265881","-",390,258,277,317,259,159,133,112,90
"YBR014C","II","266725","267336","-",612,500,464,404,334,283,241,255,305
"YBR015C","II","267710","269503","-",1794,618,580,598,768,734,1019,1324,1046
"YBR016W","II","270247","270633","+",387,441,460,345,185,113,122,128,127
"YBR017C","II","270947","273703","-",2757,618,603,863,1371,1288,1571,1899,1349
"YBR018C","II","274427","275527","-",1101,183,144,113,49,18,11,15,15
"YBR019C","II","276253","278352","-",2100,15,12,20,8,3,5,7,11
"YBR020W","II","279021","280607","+",1587,172,122,79,60,58,43,85,81
"YBR021W","II","281443","283344","+",1902,21,11,84,227,193,302,302,224
"YBR022W","II","283738","284271","+",534,173,189,237,243,208,178,156,113
"YBR023C","II","284428","287925","-",3498,429,352,520,1647,1562,1548,1552,1118
"YBR024W","II","289445","290350","+",906,731,792,593,340,248,155,153,138
"YBR025C","II","290681","291865","-",1185,236,277,498,1037,1247,1850,3884,4566
"YBR026C","II","292877","294019","-",1143,3687,3630,2976,1840,1161,813,633,598
"YBR027C","II","294024","294356","-",333,16,21,29,41,42,60,73,58
"YBR028C","II","294425","296002","-",1578,180,150,311,420,379,607,670,484
"YBR029C","II","296369","297742","-",1374,244,206,462,1512,1439,1530,1517,1241
"YBR030W","II","298292","299950","+",1659,52,60,334,563,417,408,428,333
"YBR031W","II","300166","301254","+",1089,1602,1610,2521,3518,3210,4443,8845,10578
"YBR033W","II","301944","304703","+",2760,269,202,171,60,38,26,16,18
"YBR034C","II","304930","305976","-",1047,35,91,791,943,905,1124,946,500
"YBR035C","II","306269","306955","-",687,1647,1632,1403,1037,795,675,833,748
"YBR036C","II","309081","310313","-",1233,1465,1271,1047,611,455,508,652,642
"YBR037C","II","310565","311452","-",888,735,601,231,181,128,125,150,140
"YBR038W","II","311898","314789","+",2892,362,301,211,489,611,684,750,708
"YBR039W","II","315575","316510","+",936,3496,3392,3446,2599,1582,1348,1141,1490
"YBR041W","II","318266","320275","+",2010,463,382,376,451,460,535,661,739
"YBR042C","II","320416","321609","-",1194,85,104,224,399,429,426,432,412
"YBR043C","II","321876","323945","-",2070,822,732,681,516,506,535,795,672
"YBR044C","II","324341","326059","-",1719,696,616,373,345,220,213,238,267
"YBR045C","II","328173","330092","-",1920,423,375,261,97,46,28,51,78
"YBR046C","II","330507","331511","-",1005,1924,1880,1399,772,375,249,171,150
"YBR047W","II","331833","332360","+",528,138,113,88,55,35,13,38,54
"YBR048W","II;II","332831;333387","332875;333812","+;+",471,119,139,316,947,1402,2259,4489,5924
"YBR049C","II","334386","336818","-",2433,819,632,555,654,665,825,897,927
"YBR050C","II","337183","338199","-",1017,1266,1212,622,81,23,23,22,31
"YBR051W","II","337988","338338","+",351,2,5,1,0,2,0,2,0
"YBR052C","II","338720","339352","-",633,2980,2812,2134,1287,751,499,403,471
"YBR053C","II","339675","340751","-",1077,3151,3124,2481,1497,801,528,295,338
"YBR054W","II","343101","344135","+",1035,223,236,905,855,428,164,82,251
"YBR055C","II","344602","347301","-",2700,317,289,419,556,468,556,684,541
"YBR056W","II","347879","349384","+",1506,3885,3861,3064,1780,815,565,336,475
"YBR056W-A","II","351255","351455","+",201,24,37,157,68,20,14,7,14
"YBR057C","II","352193","353293","-",1101,560,495,399,368,325,365,402,348
"YBR058C","II","353672","356017","-",2346,1061,947,1052,883,735,838,955,699
"YBR058C-A","II","356324","356566","-",243,296,275,369,437,462,494,567,569
"YBR059C","II","356861","360187","-",3327,2369,2328,2271,1276,806,742,784,895
"YBR060C","II","360652","362514","-",1863,168,140,234,290,314,346,451,368
"YBR061C","II","364787","365719","-",933,26,39,193,280,309,413,429,233
"YBR062C","II;II","365976;366585","366502;366600","-;-",543,766,709,516,324,206,176,145,141
"YBR063C","II","366970","368184","-",1215,238,222,379,392,251,294,313,249
"YBR065C","II","368584","369678","-",1095,195,219,375,302,218,246,227,193
"YBR066C","II","370037","370699","-",663,23,22,73,202,123,184,295,370
"YBR067C","II","372103","372735","-",633,5860,5530,5324,4048,2152,1572,890,813
"YBR068C","II","373861","375690","-",1830,1808,1323,1830,276,225,552,1368,1364
"YBR069C","II","376574","378433","-",1860,315,280,850,424,358,836,1628,1524
"YBR070C","II","379221","379934","-",714,78,78,77,145,186,216,193,177
"YBR071W","II","380411","381046","+",636,315,300,262,485,382,407,363,278
"YBR072W","II","382030","382674","+",645,17591,17058,11825,5269,2618,1592,532,146
"YBR073W","II","383112","385988","+",2877,358,298,378,1050,1513,1824,2042,1439
"YBR074W","II","386286","389216","+",2931,399,390,608,897,863,1014,1358,1048
"YBR076W","II","390227","391291","+",1065,13,24,17,3,5,1,3,1
"YBR076C-A","II","391351","391617","-",267,99,134,93,72,46,33,44,68
"YBR077C","II","391805","392293","-",489,420,441,414,326,198,151,172,167
"YBR078W","II;II","393123;393511","393180;394742","+;+",1290,855,713,1754,3871,4100,5098,7211,7855
"YBR079C","II","395383","398277","-",2895,569,484,1583,2747,2606,3393,4714,2829
"YBR080C","II","398614","400890","-",2277,923,960,958,1063,1024,1064,1233,1087
"YBR081C","II","401253","405251","-",3999,946,861,1034,1237,901,980,1056,1022
"YBR082C","II;II","406628;407123","407027;407169","-;-",447,1148,1135,1189,1301,1228,1520,2061,2253
"YBR083W","II","409169","410629","+",1461,770,586,252,254,369,427,554,605
"YBR084W","II","411054","413981","+",2928,43,33,273,965,1240,1989,3207,2673
"YBR084C-A","II;II","414186;415260","414753;415261","-;-",570,326,324,693,1742,2439,3847,7465,9235
"YBR085W","II","415983","416906","+",924,5,14,46,81,119,174,245,132
"YBR085C-A","II","418907","419164","-",258,2311,2361,2528,1914,936,482,332,388
"YBR086C","II","420201","423041","-",2841,3017,2582,1916,1664,1332,1580,2221,2675
"YBR087W","II","423765","424829","+",1065,125,117,146,301,325,382,446,366
"YBR088C","II","424990","425766","-",777,67,47,72,468,951,1079,1220,962
"YBR089W","II","425183","425782","+",600,2,1,0,1,3,4,2,1
"YBR089C-A","II","426190","426489","-",300,1202,1120,835,474,273,191,191,170
"YBR090C","II;II","426333;426874","426516;427058","-;-",369,11,15,10,4,4,2,5,2
"YBR091C","II","427155","427484","-",330,38,39,58,89,82,69,79,49
"YBR092C","II","427698","429101","-",1404,22,31,276,555,629,1144,2055,2030
"YBR093C","II","429548","430951","-",1404,215,269,218,1034,2828,7695,22227,17500
"YBR094W","II","432036","434297","+",2262,449,385,361,521,570,658,701,496
"YBR095C","II","434406","435698","-",1293,435,399,379,324,313,305,336,262
"YBR096W","II","436021","436713","+",693,335,329,372,413,432,433,484,510
"YBR097W","II","436951","441315","+",4365,494,464,514,531,383,335,294,366
"YBR098W","II","441515","443590","+",2076,217,195,180,194,194,172,187,186
"YBR099C","II","442924","443307","-",384,16,9,2,4,9,10,36,28
"YBR101C","II","443821","444693","-",873,842,916,533,444,432,507,578,478
"YBR102C","II","445062","447323","-",2262,431,409,548,498,385,466,440,417
"YBR103W","II","447709","449316","+",1608,661,604,581,388,333,350,422,396
"YBR104W","II","449667","450656","+",990,11,13,213,211,234,337,489,307
"YBR105C","II","450881","451969","-",1089,1076,1053,579,393,549,432,224,135
"YBR106W","II","452658","453224","+",567,372,425,650,1220,1586,2035,3167,2872
"YBR107C","II","453793","454530","-",738,141,158,149,76,81,69,65,66
"YBR108W","II","454822","457665","+",2844,858,720,641,397,233,177,215,199
"YBR109C","II","457919","458362","-",444,1201,1246,1353,1385,1198,1130,1240,1144
"YBR109W-A","II","458608","458832","+",225,4,4,12,26,16,12,11,10
"YBR110W","II","458872","460221","+",1350,519,518,697,807,615,487,558,563
"YBR111C","II","461178","461873","-",696,1339,1332,1283,1070,821,766,728,686
"YBR111W-A","II;II;II","462139;462290;462500","462209;462429;462579","+;+;+",291,311,352,378,320,236,186,192,235
"YBR112C","II","462870","465770","-",2901,1098,930,784,667,819,992,1305,1206
"YBR113W","II","465566","466048","+",483,4,2,1,5,1,3,1,1
"YBR114W","II","467248","469620","+",2373,237,260,621,207,265,247,153,173
"YBR115C","II","469748","473926","-",4179,499,473,673,1311,1428,1789,3446,2391
"YBR116C","II","474199","474726","-",528,4,7,4,1,2,0,1,0
"YBR117C","II","474392","476437","-",2046,148,101,84,28,16,9,2,3
"YBR118W","II","477671","479047","+",1377,7863,7921,12638,16447,18103,25462,43164,49125
"YBR119W","II;II","479338;479435","479345;480323","+;+",897,406,393,292,221,190,177,224,203
"YBR120C","II","480435","480923","-",489,749,653,275,220,179,146,111,131
"YBR121C","II","481364","483367","-",2004,786,752,1420,2574,3198,4130,6679,7113
"YBR122C","II","483970","484503","-",534,959,928,651,450,326,265,303,283
"YBR123C","II","484742","486691","-",1950,421,358,366,310,257,292,301,345
"YBR125C","II","487199","488380","-",1182,434,373,250,213,180,163,203,212
"YBR126C","II","488905","490392","-",1488,11478,10520,7341,2867,1139,657,633,1688
"YBR126W-A","II","490850","491056","+",207,52,61,43,24,8,11,17,25
"YBR126W-B","II","490927","491070","+",144,109,122,96,42,45,27,17,24
"YBR127C","II","491269","492822","-",1554,2607,2536,2699,2580,2168,2637,4060,4665
"YBR128C","II","493081","494115","-",1035,357,342,182,77,49,27,38,63
"YBR129C","II","494353","495339","-",987,300,219,300,362,283,227,257,282
"YBR130C","II","495592","496869","-",1278,267,265,350,340,366,549,681,659
"YBR131W","II","497163","499277","+",2115,77,83,165,211,195,191,190,145
"YBR132C","II","499652","501442","-",1791,2089,1535,652,163,53,51,77,144
"YBR133C","II","501804","504287","-",2484,288,261,300,589,664,716,881,820
"YBR135W","II","504854","505306","+",453,52,66,100,167,132,194,232,157
"YBR136W","II","505668","512774","+",7107,543,465,322,438,360,354,459,326
"YBR137W","II","513044","513583","+",540,789,813,718,474,295,216,178,167
"YBR138C","II","513762","515336","-",1575,390,394,172,263,225,211,212,266
"YBR139W","II","515664","517190","+",1527,4402,4165,3063,1262,607,425,276,547
"YBR140C","II","517350","526628","-",9279,2682,2755,1920,1418,1065,994,917,890
"YBR141C","II","527025","528038","-",1014,2,5,35,84,91,156,147,57
"YBR141W-A","II","527167","527262","+",96,5,3,2,5,0,2,0,2
"YBR142W","II","528317","530638","+",2322,39,39,397,879,1004,1350,1746,772
"YBR143C","II","530869","532182","-",1314,622,610,1546,2778,2895,3233,4315,3800
"YBR145W","II","533762","534817","+",1056,482,367,343,788,741,500,484,324
"YBR146W","II","535260","536096","+",837,1262,1004,720,497,418,475,406,389
"YBR147W","II","536575","537465","+",891,544,405,235,136,54,39,60,73
"YBR148W","II","537876","539705","+",1830,79,51,59,53,34,35,60,61
"YBR149W","II","539987","541021","+",1035,7859,7637,6655,4385,2432,1865,1187,990
"YBR150C","II","541209","544493","-",3285,811,641,651,617,362,218,212,251
"YBR151W","II","545028","545978","+",951,1659,1550,1306,874,604,525,650,680
"YBR152W","II","546376","547251","+",876,82,82,126,134,111,117,130,101
"YBR153W","II","547460","548194","+",735,134,103,234,219,172,200,205,133
"YBR154C","II","548362","549009","-",648,171,234,783,1456,1129,1241,1348,905
"YBR155W","II","549771","550928","+",1158,14,34,330,923,799,899,840,375
"YBR156C","II","551104","553200","-",2097,92,61,117,172,269,316,349,257
"YBR157C","II","553543","554310","-",768,419,725,1745,290,71,130,367,366
"YBR158W","II","556549","558198","+",1650,1429,1217,2006,2220,1266,1704,2247,2079
"YBR159W","II","558685","559728","+",1044,644,671,670,697,751,844,1158,1302
"YBR160W","II","560078","560974","+",897,350,295,309,541,480,431,451,333
"YBR161W","II","561634","562764","+",1131,189,176,232,256,199,185,220,248
"YBR162C","II","563203","564570","-",1368,880,842,1106,1993,2363,3110,4497,4456
"YBR162W-A","II","565231","565428","+",198,107,131,248,459,506,648,870,721
"YBR163W","II","565723","567480","+",1758,173,175,367,490,448,451,490,407
"YBR164C","II","567875","568426","-",552,312,326,377,513,558,557,632,595
"YBR165W","II","568852","569685","+",834,332,310,214,223,164,160,176,168
"YBR166C","II","569842","571200","-",1359,177,191,328,486,412,368,505,409
"YBR167C","II","571468","571890","-",423,215,179,157,142,96,124,125,93
"YBR168W","II","572371","573612","+",1242,579,497,423,357,207,211,220,234
"YBR169C","II","573915","575996","-",2082,2943,2636,1990,1019,518,298,233,350
"YBR170C","II","576344","578086","-",1743,676,633,620,595,475,454,386,368
"YBR171W","II","578364","578984","+",621,272,266,359,526,474,510,592,574
"YBR172C","II","579150","581372","-",2223,491,431,1164,1137,848,1014,1100,859
"YBR173C","II","581726","582172","-",447,943,870,763,589,485,497,480,393
"YBR175W","II","582408","583355","+",948,17,31,98,122,131,149,167,153
"YBR176W","II","583720","584658","+",939,139,111,165,205,189,187,236,167
"YBR177C","II","584807","586162","-",1356,1673,1575,1459,1761,1514,1706,1767,1729
"YBR179C","II","586547","589114","-",2568,1401,1284,841,747,530,511,535,506
"YBR180W","II","589741","591459","+",1719,0,2,3,4,2,3,6,5
"YBR181C","II;II","591712;592769","592416;592774","-;-",711,189,174,611,2293,3288,4815,9218,12632
"YBR182C","II","593506","594864","-",1359,25,21,77,65,46,49,41,15
"YBR183W","II","596115","597065","+",951,1010,769,261,58,29,17,31,75
"YBR184W","II","597363","598934","+",1572,11,12,11,19,30,55,111,150
"YBR185C","II","599123","599959","-",837,446,415,213,212,184,164,179,147
"YBR186W","II;II","600553;602217","602103;602360","+;+",1695,21,19,24,16,14,3,5,4
"YBR187W","II","602634","603476","+",843,88,67,178,337,424,629,1024,948
"YBR188C","II","603685","604107","-",423,169,164,153,180,126,159,144,122
"YBR189W","II;II","604508;604928","604514;605508","+;+",588,153,137,594,1992,2836,4621,9355,13058
"YBR191W","II;II","606270;606669","606280;607140","+;+",483,62,60,286,1296,1865,2939,5691,7723
"YBR191W-A","II","607149","607223","+",75,3,2,15,50,99,125,278,420
"YBR192W","II","607652","608785","+",1134,114,124,254,401,349,320,325,305
"YBR193C","II","609082","609753","-",672,296,344,306,217,172,138,157,149
"YBR194W","II","610038","610409","+",372,176,185,155,106,91,81,105,95
"YBR195C","II","610614","611882","-",1269,64,88,259,280,236,232,258,204
"YBR196C","II","612236","613900","-",1665,2920,2844,3752,6258,8158,10703,15637,15632
"YBR196C-A","II","614024","614173","-",150,2,2,4,9,10,14,18,14
"YBR196C-B","II","614526","614630","-",105,2,2,1,2,1,5,8,8
"YBR197C","II","615203","615856","-",654,84,93,146,141,115,118,155,145
"YBR198C","II","616127","618523","-",2397,779,731,927,1055,795,888,1061,885
"YBR199W","II","618909","620303","+",1395,1358,1438,1412,1265,1003,950,1121,1434
"YBR200W","II","620872","622527","+",1656,574,590,763,639,489,458,516,429
"YBR201W","II","623576","624211","+",636,207,192,164,145,107,79,116,121
"YBR201C-A","II","624493","624696","-",204,67,101,117,35,17,26,31,22
"YBR202W","II","625772","628309","+",2538,334,293,598,678,739,686,698,552
"YBR203W","II","629168","631942","+",2775,971,731,214,63,29,28,31,57
"YBR204C","II","632254","633381","-",1128,720,673,601,290,172,131,172,208
"YBR205W","II","633622","634836","+",1215,434,420,466,433,384,487,689,757
"YBR206W","II","634601","634924","+",324,35,29,37,38,41,44,43,69
"YBR207W","II","635146","636543","+",1398,1031,959,924,674,399,370,499,600
"YBR208C","II","636703","642210","-",5508,796,786,2685,7227,3438,1591,764,986
"YBR210W","II","645550","645978","+",429,272,254,235,225,158,174,251,218
"YBR211C","II","646158","647132","-",975,323,259,216,188,160,114,149,164
"YBR212W","II","647886","649904","+",2019,3904,3305,2007,559,367,312,367,450
"YBR213W","II","650368","651192","+",825,11,9,45,462,531,90,51,40
"YBR214W","II","651415","652998","+",1584,5128,5019,2671,825,287,132,159,342
"YBR215W","II;II","653356;653453","653368;655317","+;+",1878,524,439,571,531,437,440,515,408
"YBR216C","II","655576","657600","-",2025,893,776,710,434,346,352,404,332
"YBR217W","II","657832","658392","+",561,142,144,171,152,100,81,83,101
"YBR218C","II","658707","662249","-",3543,2091,1826,2228,3331,2990,3159,3527,2548
"YBR220C","II","662995","664677","-",1683,111,124,204,313,340,360,457,407
"YBR221C","II","665153","666253","-",1101,3219,3245,3130,2612,2105,2134,2330,2345
"YBR222C","II","666720","668351","-",1632,1055,1032,741,530,395,425,483,402
"YBR223C","II","668663","670297","-",1635,333,312,296,196,143,89,107,110
"YBR224W","II","670125","670640","+",516,3,7,3,3,0,1,5,0
"YBR225W","II","670627","673329","+",2703,990,736,576,355,241,210,240,195
"YBR226C","II","673155","673565","-",411,6,2,3,6,7,4,9,2
"YBR227C","II","673572","675134","-",1563,296,240,414,499,414,437,485,392
"YBR228W","II","675313","676227","+",915,291,274,305,262,134,127,138,120
"YBR229C","II","676357","679221","-",2865,849,730,841,809,679,647,785,916
"YBR230C","II;II","679549;680040","679942;680050","-;-",405,2860,2826,1916,689,177,100,71,150
"YBR230W-A","II","680362","680562","+",201,329,324,325,191,123,81,58,53
"LSR1","II","680688","681862","-",1175,2192,2550,2097,1747,1074,1119,1122,1052
"YBR231C","II","682179","683090","-",912,135,118,168,206,163,184,159,141
"YBR233W","II","683428","684669","+",1242,144,135,139,255,208,241,257,241
"YBR233W-A","II","684977","685261","+",285,46,44,55,89,98,106,169,186
"YBR234C","II","685438","686592","-",1155,1436,1497,1374,1232,852,802,818,738
"YBR235W","II","686901","690263","+",3363,684,607,699,748,604,629,577,496
"YBR236C","II","690383","691693","-",1311,658,683,601,679,587,560,523,448
"YBR237W","II","691969","694518","+",2550,697,668,809,608,472,429,423,350
"YBR238C","II","695107","697302","-",2196,8,7,475,285,349,561,495,291
"YBR239C","II","698354","699943","-",1590,76,56,139,101,118,132,172,140
"YBR240C","II","700490","701842","-",1353,22,13,26,21,13,17,19,22
"YBR241C","II","702589","704055","-",1467,1092,1027,705,287,128,93,67,106
"YBR242W","II","704670","705386","+",717,91,108,237,329,365,442,457,355
"YBR243C","II","705447","706793","-",1347,105,100,91,214,285,320,416,371
"YBR244W","II","707528","708016","+",489,91,90,127,173,150,146,246,370
"YBR245C","II","708150","711539","-",3390,472,503,641,1018,993,1258,1528,1088
"YBR246W","II","711591","712754","+",1164,172,158,270,332,284,341,419,283
"YBR247C","II","713004","714455","-",1452,8,14,314,673,709,1024,1136,496
"YBR248C","II","714807","716465","-",1659,116,122,1085,3487,3516,2917,1567,730
"YBR249C","II","716882","717994","-",1113,121,96,220,733,1108,1760,3658,3963
"YBR250W","II","719033","720604","+",1572,26,25,43,27,20,17,32,28
"YBR251W","II","721390","722313","+",924,707,568,358,281,204,195,197,174
"YBR252W","II","722611","723054","+",444,41,48,91,183,250,302,436,362
"YBR253W","II","723270","723635","+",366,227,233,270,306,238,199,168,184
"YBR254C","II","723736","724263","-",528,38,40,92,151,118,134,146,140
"YBR255W","II","724456","726540","+",2085,556,514,585,501,314,320,316,329
"YBR255C-A","II;II","726618;727012","726917;727074","-;-",363,225,191,120,56,48,48,73,73
"YBR256C","II","727386","728102","-",717,1504,1458,1072,736,550,463,645,646
"YBR257W","II","728885","729724","+",840,124,119,206,223,205,182,180,119
"YBR258C","II","729734","730162","-",429,98,109,103,131,90,97,78,68
"YBR259W","II","730387","732453","+",2067,212,180,270,311,255,275,231,217
"YBR260C","II","732639","734639","-",2001,294,277,371,459,377,367,398,324
"YBR261C","II","734832","735530","-",699,57,53,116,191,227,309,391,255
"YBR262C","II","735720","736040","-",321,379,362,156,131,114,92,89,105
"YBR263W","II","736264","737736","+",1473,658,640,786,843,815,1052,1764,1647
"YBR264C","II","737770","738369","-",600,191,230,198,144,110,119,135,147
"YBR265W","II","738582","739544","+",963,204,149,235,370,355,457,587,537
"YBR267W","II","739841","741022","+",1182,14,17,237,426,392,642,607,280
"YBR268W","II","741299","741616","+",318,326,305,247,189,158,167,168,163
"YBR269C","II","742160","742576","-",417,1130,1032,531,293,216,162,134,192
"YBR270C","II","742761","744398","-",1638,184,161,236,159,109,114,104,104
"YBR271W","II","744852","746111","+",1260,30,29,125,230,240,361,523,203
"YBR272C","II","746361","747803","-",1443,841,801,645,329,265,276,307,287
"YBR273C","II","748061","749371","-",1311,1123,1057,827,543,398,348,354,295
"YBR274W","II","749594","751177","+",1584,409,382,424,343,263,285,306,263
"YBR275C","II","751356","757106","-",5751,215,203,188,497,855,1038,1368,1139
"YBR276C","II","757620","760043","-",2424,816,721,788,1109,1060,1139,1183,1025
"YBR278W","II","760294","760899","+",606,255,235,201,234,201,198,229,192
"YBR279W","II","761257","762594","+",1338,1512,1505,1337,1100,854,861,882,798
"YBR280C","II","762784","764697","-",1914,2103,1660,622,243,143,113,90,117
"YBR281C","II","764970","767606","-",2637,416,320,626,3459,2279,1095,635,508
"YBR282W","II","768240","768680","+",441,318,317,283,323,161,163,189,157
"YBR283C","II","768943","770415","-",1473,1079,1013,1230,1455,1355,1577,2162,2326
"YBR284W","II","771239","773632","+",2394,100,89,96,59,35,27,42,43
"YBR285W","II","773922","774356","+",435,1089,974,558,219,56,23,13,20
"YBR286W","II","774700","776313","+",1614,16891,16820,15203,10425,6771,5764,5788,5251
"YBR287W","II","776571","777854","+",1284,1947,1835,2236,1227,709,634,711,679
"YBR288C","II","778012","779463","-",1452,308,285,350,519,465,579,663,596
"YBR289W","II","779667","782384","+",2718,426,429,330,420,323,374,442,425
"YBR290W","II","782591","783556","+",966,802,831,567,452,371,337,360,342
"YBR291C","II","783673","784572","-",900,109,100,133,185,236,394,461,215
"YBR292C","II","784702","785073","-",372,6,7,11,21,17,17,18,9
"YBR293W","II","787006","788430","+",1425,306,306,343,438,181,138,155,165
"YBR294W","II","789235","791814","+",2580,43,30,102,312,621,266,16,6
"YBR295W","II","792849","796499","+",3651,274,240,226,541,231,235,288,282
"YBR296C","II","796798","798522","-",1725,5842,4809,16117,15843,10925,10386,7600,1854
"YBR297W","II","800523","801929","+",1407,540,490,480,196,103,85,95,65
"YBR298C","II","802631","804475","-",1845,1886,1542,325,57,41,38,65,108
"YBR299W","II","805351","807105","+",1755,220,190,80,18,17,3,7,8
"YBR301W","II","809057","809419","+",363,2,0,2,0,0,3,5,7
"YBR302C","II","810340","811479","-",1140,772,830,716,400,280,269,257,361
"YNL339C","XIV;XIV","371;6080","5931;6098","-;-",5580,496,481,355,546,682,719,737,635
"YNL336W","XIV","8330","9475","+",1146,613,624,556,334,217,219,236,353
"YNL335W","XIV","11452","12129","+",678,5,7,4,4,4,0,1,0
"YNL334C","XIV","12208","12876","-",669,55,35,48,47,33,53,51,46
"YNL333W","XIV","13267","14163","+",897,55,64,70,67,41,54,64,61
"YNL332W","XIV","14832","15854","+",1023,21,30,20,16,7,16,6,8
"YNL331C","XIV","16118","17248","-",1131,157,161,133,113,63,77,68,69
"YNL330C","XIV","18001","19302","-",1302,815,695,666,529,479,501,599,510
"YNL329C","XIV","19541","22633","-",3093,618,528,440,397,357,394,508,460
"YNL328C","XIV","22834","23274","-",441,37,38,28,32,27,33,32,41
"YNL327W","XIV","24048","27173","+",3126,3628,3159,2530,2580,1662,1994,3040,2996
"YNL326C","XIV","27337","28347","-",1011,154,142,150,197,183,155,199,146
"YNL325C","XIV","28739","31378","-",2640,391,371,375,373,284,292,273,215
"YNL323W","XIV","31944","33188","+",1245,307,288,354,492,439,415,569,478
"YNL322C","XIV","33294","34235","-",942,1091,1047,897,704,558,621,700,674
"YNL321W","XIV","34696","37422","+",2727,1024,666,438,426,312,326,381,356
"YNL320W","XIV","37700","38554","+",855,61,58,163,209,168,183,171,175
"YNL319W","XIV","38642","39082","+",441,6,4,16,16,16,16,22,21
"YNL317W","XIV","40619","42016","+",1398,444,420,337,211,176,165,198,192
"YNL316C","XIV","42071","43075","-",1005,142,106,259,289,219,196,203,150
"YNL315C","XIV","43324","44280","-",957,1091,1038,575,359,377,340,368,335
"YNL314W","XIV","44447","45214","+",768,201,200,166,111,102,96,98,92
"YNL313C","XIV","45308","48022","-",2715,15,19,341,853,812,1072,1080,621
"YNL312W","XIV;XIV","48287;48402","48293;49216","+;+",822,217,194,213,414,585,690,794,588
"YNL311C","XIV","49397","51688","-",2292,175,173,418,610,506,455,507,298
"YNL310C","XIV","51907","52431","-",525,198,164,160,173,197,166,158,128
"YNL309W","XIV","52662","53924","+",1263,58,62,89,195,192,187,185,151
"YNL308C","XIV","54122","55897","-",1776,166,193,1236,2077,1866,2378,3005,1553
"YNL307C","XIV","56446","57573","-",1128,989,904,841,814,755,755,926,1052
"YNL306W","XIV","58155","58808","+",654,663,659,491,481,475,408,400,385
"YNL305C","XIV","58898","59791","-",894,1209,1180,627,225,151,95,82,132
"YNL304W","XIV","60297","61550","+",1254,107,108,69,94,99,103,133,145
"YNL303W","XIV","61510","61857","+",348,10,8,10,12,15,12,13,11
"YNL302C","XIV;XIV","61958;62924","62372;62943","-;-",435,179,156,418,1062,1502,2356,4641,6036
"YNL301C","XIV;XIV","63570;64451","64018;64562","-;-",561,169,183,419,763,896,1350,2908,2909
"YNL300W","XIV","65744","66052","+",309,8,2,14,433,782,832,921,758
"YNL299W","XIV","66517","68445","+",1929,17,22,228,344,353,468,499,286
"YNL298W","XIV","68915","71443","+",2529,139,126,409,700,499,452,480,395
"YNL297C","XIV","71673","76583","-",4911,1097,1010,1043,1165,833,805,888,918
"YNL295W","XIV","76946","78520","+",1575,668,571,399,262,209,189,216,190
"YNL294C","XIV","78659","80260","-",1602,1025,985,945,847,527,448,416,379
"YNL293W","XIV","80640","82541","+",1902,837,784,516,440,314,228,258,232
"YNL292W","XIV","82806","84017","+",1212,84,67,240,399,366,426,516,358
"YNL291C","XIV","84169","85815","-",1647,221,233,297,386,401,423,505,416
"YNL290W","XIV","86218","87240","+",1023,158,180,277,497,405,505,584,442
"YNL289W","XIV","87897","88736","+",840,17,21,649,1280,734,674,713,580
"snR40","XIV","89210","89306","+",97,2,9,10,6,6,3,1,2
"YNL288W","XIV","90303","91424","+",1122,352,283,326,279,196,221,283,244
"YNL287W","XIV","91994","94801","+",2808,1852,1741,1667,1998,1925,2143,2829,2702
"YNL286W","XIV","95223","96080","+",858,337,298,383,254,193,212,241,225
"YNL285W","XIV","96173","96544","+",372,5,13,6,2,3,3,4,7
"YNL284C-B","XIV","96964","102232","-",5269,4203,3892,3870,3907,3684,4329,4959,4363
"tN(GUU)N1","XIV","102716","102789","+",74,0,2,3,3,8,7,5,4
"YNL284C","XIV","103134","104102","-",969,910,898,570,389,305,279,298,266
