Compound,Pathways of compound,ChEBI,Molecular-Weight,KEGG,Object ID
OXIDIZED-GLUTATHIONE,DETOX1-PWY-1 // GLUT-REDOX-PWY // PWY3O-592 // PWY-4081 // PWY-7798,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58297'>58297</a>,610.61,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00127'>C00127</a>,OXIDIZED-GLUTATHIONE
CPD-13908,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71259'>71259</a>,689.57,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18870'>C18870</a>,CPD-13908
CPD0-2113,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74565'>74565</a>,436.524,,CPD0-2113
RETINOATE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35291'>35291</a>,299.432,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00777'>C00777</a>,RETINOATE
CPD-13534,YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,,861.604,,CPD-13534
ACETOACETYL-COA,YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-922 // ERGOSTEROL-SYN-PWY // PWY-5910,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57286'>57286</a>,847.577,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00332'>C00332</a>,ACETOACETYL-COA
T2-C4-DECADIENYL-COA,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:137593'>137593</a>,913.722,,T2-C4-DECADIENYL-COA
CPD-15654,PWY-7337,,927.749,,CPD-15654
CPD0-2056,,,274.253,,CPD0-2056
CPD-20340,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84058'>84058</a>,288.28,,CPD-20340
CPD-19721,,,634.47,,CPD-19721
BILIVERDINE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57991'>57991</a>,580.639,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00500'>C00500</a>,BILIVERDINE
BILIRUBIN,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57977'>57977</a>,582.655,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00486'>C00486</a>,BILIRUBIN
CPD-22381,,,116.16,,CPD-22381
CPD-1113,PWY-6348 // PWY-6952-1 // PWY-7625 // SPHINGOLIPID-SYN-PWY // PWY-6352 // PWY3O-242 // PWY-6351,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57997'>57997</a>,,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04248'>C04248</a>,CPD-1113
CPD-11938,PWY-6369 // PWY-6348 // PWY-6952-1 // PWY3O-402,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74945'>74945</a>,805.885,,CPD-11938
ALPHA-GLUCOSE-16-BISPHOSPHATE,PWY-6981 // PWY-5941 // PWY-7343 // PWY66-422 // PWY3O-1565,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58392'>58392</a>,336.085,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01231'>C01231</a>,ALPHA-GLUCOSE-16-BISPHOSPHATE
CPD-11939,PWY-6369 // PWY-6348 // PWY-6952-1 // PWY3O-402,,805.885,,CPD-11939
MI-HEXAKISPHOSPHATE,PWY-6361 // PWY-6348 // PWY-6952-1 // PWY-6369 // PWY3O-402,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58130'>58130</a>,647.942,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01204'>C01204</a>,MI-HEXAKISPHOSPHATE
MAL,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-7686 // PWY-7118 // PWY-5690 // MALATE-ASPARTATE-SHUTTLE-PWY // GLYOXYLATE-BYPASS // GLUCONEO-YEAST-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15589'>15589</a>,132.073,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00149'>C00149</a>,MAL
CPD-541,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58444'>58444</a>,333.208,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01225'>C01225</a>,CPD-541
CPD-14768,PWY-7119 // PWY-6348 // PWY-6952-1,,662.385,,CPD-14768
CPD-14767,PWY-7119 // PWY-6348 // PWY-6952-1,,420.263,,CPD-14767
MYO-INOSITOL,PWY-2301 // PWY-6348 // PWY-6952-1 // PWY-6352 // PWY-7625 // PWY3O-242 // PWY-6351,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17268'>17268</a>,180.157d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00137'>C00137</a>,MYO-INOSITOL
CPD-8355,PWY-5669 // PWY4FS-6 // PWY3O-259 // PWY-6825 // PWY-7409,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74971'>74971</a>,479.593,,CPD-8355
PREGNENOLONE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16581'>16581</a>,316.483,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01953'>C01953</a>,PREGNENOLONE
CPD-8620,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87056'>87056</a>,384.644,,CPD-8620
CPD-4581,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52386'>52386</a>,382.628,,CPD-4581
CPD-4578,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:136486'>136486</a>,396.655,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15816'>C15816</a>,CPD-4578
CPD-22137,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71550'>71550</a>,384.644,,CPD-22137
CPD-22132,,,412.698,,CPD-22132
CPD-12915,,,410.682,,CPD-12915
CPD-12868,,,424.709,,CPD-12868
4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16495'>16495</a>,398.671,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04453'>C04453</a>,4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON
CPD-8614,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87050'>87050</a>,398.671,,CPD-8614
CPD-5881,PHENYLALANINE-DEG1-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15642'>15642</a>,257.249,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15522'>C15522</a>,CPD-5881
THMPT,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58103'>58103</a>,773.666,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01217'>C01217</a>,THMPT
INDOLE_ACETATE_AUXIN,PWY-5026,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30854'>30854</a>,174.179,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00954'>C00954</a>,INDOLE_ACETATE_AUXIN
CPD-19493,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,167.241,,CPD-19493
CPDQT-407,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,280.4,,CPDQT-407
CPD-7545,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,254.303,,CPD-7545
CPD-21179,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,270.303,,CPD-21179
CPD-21122,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,219.298,,CPD-21122
CPD-21119,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,207.287,,CPD-21119
CPD-1301,PWY-5041 // HSERMETANA-PWY // PWY-6121 // PWY-6613 // PWY-6124 // PWY-841 // PANTO-PWY // PWY-6614 // PWY-6612 // FOLSYN-PWY // PWY-1722 // PWY-2161 // PWY66-385 // GLYSYN-PWY // SER-GLYSYN-PWY // PWY3O-230 // PWY-2201 // PWY3O-697 // GLYCLEAV-PWY // GLYCINE-SYN2-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58140'>58140</a>,699.633,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04144'>C04144</a>,CPD-1301
SULFO-CYSTEINE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62225'>62225</a>,200.204,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05824'>C05824</a>,SULFO-CYSTEINE
SQUALENE,PWY-5670 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15440'>15440</a>,410.725d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00751'>C00751</a>,SQUALENE
CPD-21108,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,235.341,,CPD-21108
EPOXYSQUALENE,PWY-5670 // PWY-6132 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15441'>15441</a>,426.724,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01054'>C01054</a>,EPOXYSQUALENE
CPD-465,PWY-5670 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57310'>57310</a>,583.66,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03428'>C03428</a>,CPD-465
CPDQT-408,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,294.426,,CPDQT-408
CPD-4186,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17168'>17168</a>,386.66,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01189'>C01189</a>,CPD-4186
3-OCTAPRENYL-4-HYDROXYBENZOATE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:1617'>1617</a>,682.06,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05809'>C05809</a>,3-OCTAPRENYL-4-HYDROXYBENZOATE
CPD-4184,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87051'>87051</a>,400.687,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05110'>C05110</a>,CPD-4184
CPD-7547,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:80546'>80546</a>,293.34,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16518'>C16518</a>,CPD-7547
CPD-4183,,,398.671,,CPD-4183
CPD-2222,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-5754,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:10980'>10980</a>,181.168,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03964'>C03964</a>,CPD-2222
CPD-4182,,,414.713,,CPD-4182
CPD-3736,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:21347'>21347</a>,208.232,,CPD-3736
CPD-4181,,,428.74,,CPD-4181
CPD-4125,,,412.698,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15782'>C15782</a>,CPD-4125
CPD-21126,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,211.278,,CPD-21126
CPD-22131,,,457.715,,CPD-22131
CPD-4577,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64925'>64925</a>,441.673,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15808'>C15808</a>,CPD-4577
CPD-22130,,,414.713,,CPD-22130
CPD-21120,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,207.287,,CPD-21120
CPD-5846,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58387'>58387</a>,443.688,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04840'>C04840</a>,CPD-5846
CPD-21113,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:39390'>39390</a>,207.287,,CPD-21113
CPD-8613,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87047'>87047</a>,443.688,,CPD-8613
CPDQT-409,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,308.453,,CPDQT-409
CPD-18492,PWY-5137 // YEAST-FAO-PWY // PWY-7288 // PWY-6837 // SPHINGOLIPID-SYN-PWY // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76364'>76364</a>,1102.034,,CPD-18492
CPDQT-406,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,266.373,,CPDQT-406
CPD-14928,PWY-5137 // YEAST-FAO-PWY // PWY-7288 // PWY-6837,,1056.006,,CPD-14928
CPD-3740,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,254.319,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08275'>C08275</a>,CPD-3740
T2-DECENOYL-COA,PWY-7340 // PWY-5137 // YEAST-FAO-PWY // PWY-7288 // PWY-6837,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61406'>61406</a>,915.738,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05275'>C05275</a>,T2-DECENOYL-COA
CPD-21121,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,221.314,,CPD-21121
CPD-17383,PWY-5137 // YEAST-FAO-PWY // PWY-7288 // PWY-6837 // SPHINGOLIPID-SYN-PWY // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76464'>76464</a>,1102.034,,CPD-17383
CPD-21118,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,221.314,,CPD-21118
CPD-17386,PWY-5137 // YEAST-FAO-PWY // PWY-7288 // PWY-6837,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76360'>76360</a>,1100.019,,CPD-17386
CPDQT-410,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4061 // PWY-6842-1,,322.48,,CPDQT-410
CPD-22139,,,410.682,,CPD-22139
CPD-22101,,,412.698,,CPD-22101
CPD-14889,,,426.724,,CPD-14889
57222428-ERGOSTATETRAENOL,PWY-6075 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18249'>18249</a>,394.639,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05440'>C05440</a>,57222428-ERGOSTATETRAENOL
CPD-17641,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,,1045.968,,CPD-17641
S-METHYLGLUTATHIONE,PWY-4061 // PWY-6842-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:141467'>141467</a>,320.34,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11347'>C11347</a>,S-METHYLGLUTATHIONE
44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16455'>16455</a>,414.713,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04530'>C04530</a>,44-DIMETHYL-5ALPHA-CHOLEST-7-EN-3BET
CPD-17370,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86044'>86044</a>,1043.952,,CPD-17370
2-KETO-3-METHYL-VALERATE,ILEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY // PWY-5148 // LIPAS-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // YEAST-FAO-PWY // PWY-7288 // PWY-5078 // PWY3O-4109,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35146'>35146</a>,129.135,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00671'>C00671</a>,2-KETO-3-METHYL-VALERATE
18-HYDROXYOLEATE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:78424'>78424</a>,297.457,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19616'>C19616</a>,18-HYDROXYOLEATE
FORMATE,PWY-1801 // PWY3O-64 // PWY-6147 // PWY-6612 // FOLSYN-PWY // PWY-6168 // PWY-6899 // PWY-5651 // NADSYN-PWY // PWY-6074 // ERGOSTEROL-SYN-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-2201 // PWY-1722 // PWY-2161 // PWY3O-697 // PWY-7985 // PWY-1881 // PWY-1801-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15740'>15740</a>,45.018,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a>,FORMATE
CPD-15616,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:13172'>13172</a>,180.157,,CPD-15616
CPD-17640,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86046'>86046</a>,299.473,,CPD-17640
CPD-21114,PWY-4061 // PWY-6842-1 // PWY-6348 // PWY-6952-1 // PWY-5277,,120.209,,CPD-21114
16-HYDROXYPALMITATE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:55329'>55329</a>,271.419,,16-HYDROXYPALMITATE
TRANS-2-CHLORO-4-CARBOXYMETHYLENEBUT-2-E,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57681'>57681</a>,173.532,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04729'>C04729</a>,TRANS-2-CHLORO-4-CARBOXYMETHYLENEBUT-2-E
CPD-21109,PWY-4061 // PWY-6842-1 // PWY-6348 // PWY-6952-1 // PWY-5277,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77690'>77690</a>,134.236,,CPD-21109
CPD-356,PWY3O-6,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16292'>16292</a>,148.115d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00652'>C00652</a>,CPD-356
METHYLENETETRAHYDROMETHANOPTERIN,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57818'>57818</a>,785.677,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04377'>C04377</a>,METHYLENETETRAHYDROMETHANOPTERIN
CPD-10636,,,207.977,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12834'>C12834</a>,CPD-10636
CPD-21115,PWY-4061 // PWY-6842-1 // PWY-6348 // PWY-6952-1 // PWY-5277,,134.236,,CPD-21115
CPD-10633,,,173.532,,CPD-10633
CPD-196,PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-7382 // PWY-7386,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57386'>57386</a>,889.7,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01944'>C01944</a>,CPD-196
CPD-10608,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57263'>57263</a>,139.087,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12838'>C12838</a>,CPD-10608
CPD-21110,PWY-4061 // PWY-6842-1 // PWY-6348 // PWY-6952-1 // PWY-5277,,120.209,,CPD-21110
CIS-2-CHLORO-4-CARBOXYMETHYLENEBUT-2-EN-,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57891'>57891</a>,173.532,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04706'>C04706</a>,CIS-2-CHLORO-4-CARBOXYMETHYLENEBUT-2-EN-
4-CARBOXYMETHYLENEBUT-2-EN-4-OLIDE,,,139.087,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04431'>C04431</a>,4-CARBOXYMETHYLENEBUT-2-EN-4-OLIDE
CPD-10267,PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61430'>61430</a>,917.754,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05274'>C05274</a>,CPD-10267
CPD-21111,PWY-4061 // PWY-6842-1 // PWY-6348 // PWY-6952-1 // PWY-5277,,120.209,,CPD-21111
HEXANOYL-COA,PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62620'>62620</a>,861.647,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05270'>C05270</a>,HEXANOYL-COA
CPD-21078,PWY-4061 // PWY-6842-1 // PWY-6348 // PWY-6952-1 // PWY-5277,,148.263,,CPD-21078
LAUROYLCOA-CPD,PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57375'>57375</a>,945.808,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01832'>C01832</a>,LAUROYLCOA-CPD
KDO,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:85986'>85986</a>,237.186,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01187'>C01187</a>,KDO
CPD-19148,PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,,943.792,,CPD-19148
CPD-21261,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,,237.186,,CPD-21261
CPD-7880,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27836'>27836</a>,184.321,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02278'>C02278</a>,CPD-7880
CPD-19489,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,,246.278,,CPD-19489
CPD-8490,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31457'>31457</a>,156.267,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12307'>C12307</a>,CPD-8490
CPD-19490,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,,232.251,,CPD-19490
CPD-10692,,,,,CPD-10692
CPD-19487,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,,274.331,,CPD-19487
CPD-19491,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,,218.224,,CPD-19491
CPD-567,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4041 // LYSDEGII-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58260'>58260</a>,188.226,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02727'>C02727</a>,CPD-567
CPD-19488,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,,260.304,,CPD-19488
CPD-13524,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17336'>17336</a>,286.456,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00473'>C00473</a>,CPD-13524
PHYTOSPINGOSINE,PWY-6348 // PWY-6952-1 // SPHINGOLIPID-SYN-PWY // PWY-7119,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64124'>64124</a>,318.519,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12144'>C12144</a>,PHYTOSPINGOSINE
CPD-22075,PWY-6348 // PWY-6952-1 // PWY-7119 // SPHINGOLIPID-SYN-PWY,,346.572,,CPD-22075
N-ALPHA-ACETYLORNITHINE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4041 // ARGSYNBSUB-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57805'>57805</a>,174.199d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00437'>C00437</a>,N-ALPHA-ACETYLORNITHINE
