"Compound"	"Pathways of compound"	"ChEBI"	"Molecular-Weight"	"Common-Name"	"KEGG"	"Object ID"
CPD-15123	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:45996'>45996</a>"	258.23	"5-methyluridine"		"CPD-15123"
CPD-15121	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:5100'>5100</a>"	129.093	"5-fluorocytosine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D00323'>D00323</a>"	"CPD-15121"
CPD-15110	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:10110'>10110</a>"	267.244	"3'-azido-3'-deoxythymidine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07210'>C07210</a>"	"CPD-15110"
SUCROSE	PWY-621	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17992'>17992</a>"	342.299d0	"sucrose"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00089'>C00089</a>"	"SUCROSE"
CPD-13399	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32528'>32528</a>"	342.299	"&beta;-turanose"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19636'>C19636</a>"	"CPD-13399"
UNDECAPRENYL-DIPHOSPHATE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58405'>58405</a>"	924.251	"<i>di-trans,octa-cis</i>-undecaprenyl diphosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04574'>C04574</a>"	"UNDECAPRENYL-DIPHOSPHATE"
CPD-12435	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:39473'>39473</a>"	368.251	"&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02273'>C02273</a>"	"CPD-12435"
CPD-10712	PWY-6129		1264.842	"<i>di-trans, poly-cis</i>-polyprenyl diphosphate (C<sub>80</sub>)"		"CPD-10712"
CPD-8291	PWY-5669 // PWY4FS-6 // PWY3O-259 // PWY-6825 // PWY-7409	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74986'>74986</a>"	744.043	"1-18:1-2-18:1-phosphatidylethanolamine"		"CPD-8291"
2K-4CH3-PENTANOATE	LEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY // LIPAS-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-5076 // PWY3O-4112	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17865'>17865</a>"	129.135	"4-methyl-2-oxopentanoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00233'>C00233</a>"	"2K-4CH3-PENTANOATE"
PHENYLHYDRAZINE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27924'>27924</a>"	108.143	"phenylhydrazine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02304'>C02304</a>"	"PHENYLHYDRAZINE"
SEMICARBAZIDE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28306'>28306</a>"	75.07	"semicarbazide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02077'>C02077</a>"	"SEMICARBAZIDE"
CPD-206	PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15538'>15538</a>"	1058.022	"phytanoyl-CoA"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02060'>C02060</a>"	"CPD-206"
PYRAZINAMIDE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:45285'>45285</a>"	123.114	"pyrazinamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01956'>C01956</a>"	"PYRAZINAMIDE"
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	HISTSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58525'>58525</a>"	573.303	"phosphoribulosylformimino-AICAR-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04916'>C04916</a>"	"PHOSPHORIBULOSYL-FORMIMINO-AICAR-P"
O-SUCCINYL-L-HOMOSERINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-801 // PWY-821 // PWY-6293	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57661'>57661</a>"	218.186	"O-succinyl-L-homoserine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01118'>C01118</a>"	"O-SUCCINYL-L-HOMOSERINE"
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	HISTSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58435'>58435</a>"	573.303	"1-(5-phospho-&beta;-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04896'>C04896</a>"	"PHOSPHORIBOSYL-FORMIMINO-AICAR-P"
O-PHOSPHO-L-HOMOSERINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // HOMOSER-THRESYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57590'>57590</a>"	197.084	"O-phospho-L-homoserine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01102'>C01102</a>"	"O-PHOSPHO-L-HOMOSERINE"
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE	PWY-6124 // PWY-841	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58467'>58467</a>"	364.208	"5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04734'>C04734</a>"	"PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE"
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	ARG-PRO-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PROUT-PWY // PROSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58066'>58066</a>"	131.131d0	"L-glutamate-5-semialdehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01165'>C01165</a>"	"L-GLUTAMATE_GAMMA-SEMIALDEHYDE"
CPD-3762	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2030'>2030</a>"	126.118	"5-amino-4-imidazolecarboxyamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04051'>C04051</a>"	"CPD-3762"
L-ASPARTATE-SEMIALDEHYDE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // HOMOSERSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:537519'>537519</a>"	117.104d0	"L-aspartate 4-semialdehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00441'>C00441</a>"	"L-ASPARTATE-SEMIALDEHYDE"
AICAR	HISTSYN-PWY // PWY-6124 // PWY-841	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58475'>58475</a>"	336.197	"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04677'>C04677</a>"	"AICAR"
HOMO-SER	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // HOMOSERSYN-PWY // PWY-5344 // HSERMETANA-PWY // PWY-6293 // PWY-821 // HOMOSER-THRESYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57476'>57476</a>"	119.12d0	"L-homoserine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00263'>C00263</a>"	"HOMO-SER"
HOMO-CYS	METHIONINE-DEG1-PWY // PWY-5344 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-2201 // HSERMETANA-PWY // PWY-5041 // PWY-801 // PWY-821 // PWY-6293	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58199'>58199</a>"	135.181d0	"L-homocysteine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00155'>C00155</a>"	"HOMO-CYS"
CYSTINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35491'>35491</a>"	240.292	"L-cystine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01420'>C01420</a>"	"CYSTINE"
CPD-9699	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367		141.169	"hypoglycin A"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08287'>C08287</a>"	"CPD-9699"
CPD-19526	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:40547'>40547</a>"	129.158	"cycloleucine"		"CPD-19526"
SORBITOL	PWY-6348 // PWY-6952-1 // PWY-4101	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17924'>17924</a>"	182.173	"D-sorbitol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00794'>C00794</a>"	"SORBITOL"
3-SULFINOALANINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61085'>61085</a>"	152.145	"3-sulfino-L-alanine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00606'>C00606</a>"	"3-SULFINOALANINE"
MANNITOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16899'>16899</a>"	182.173	"D-mannitol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00392'>C00392</a>"	"MANNITOL"
GALACTITOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16813'>16813</a>"	182.173	"galactitol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01697'>C01697</a>"	"GALACTITOL"
CPD-369	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18202'>18202</a>"	182.173d0	"L-iditol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01507'>C01507</a>"	"CPD-369"
CPD-22388	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83945'>83945</a>"	300.14	"diazaborine"		"CPD-22388"
GLYCEROL	PWY3O-48 // PWY-7420 // LIPAS-PWY // PWY-6348 // PWY-6952-1 // PWY-4261-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17754'>17754</a>"	92.094d0	"glycerol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00116'>C00116</a>"	"GLYCEROL"
EPISTEROL	PWY-6075 // ERGOSTEROL-SYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50586'>50586</a>"	398.671	"episterol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15777'>C15777</a>"	"EPISTEROL"
G3P	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // SERSYN-PWY // SER-GLYSYN-PWY // ANAGLYCOLYSIS-PWY // GLYCOLYSIS-YEAST-PWY // GLUCONEO-YEAST-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58272'>58272</a>"	183.034	"3-phospho-D-glycerate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00197'>C00197</a>"	"G3P"
GLYCERATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16659'>16659</a>"	105.07	"(<i>R</i>)-glycerate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00258'>C00258</a>"	"GLYCERATE"
L-PENICILLAMINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50869'>50869</a>"	149.207	"L-penicillamine"		"L-PENICILLAMINE"
23-DIPHOSPHOGLYCERATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // ANAGLYCOLYSIS-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58248'>58248</a>"	260.998	"2,3-diphospho-D-glycerate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01159'>C01159</a>"	"23-DIPHOSPHOGLYCERATE"
DPG	ANAGLYCOLYSIS-PWY // GLYCOLYSIS-YEAST-PWY // GLUCONEO-YEAST-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57604'>57604</a>"	262.006	"3-phospho-D-glyceroyl phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00236'>C00236</a>"	"DPG"
CPD-3582	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:320061'>320061</a>"	194.184	"methyl &alpha;-D-glucoside"		"CPD-3582"
PHOSPHO-ENOL-PYRUVATE	ANAGLYCOLYSIS-PWY // GLYCOLYSIS-YEAST-PWY // GLUCONEO-YEAST-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-6164 // PWY-6163 // ARO-PWY // COMPLETE-ARO-YEAST-PWY // ALL-CHORISMATE-YEAST-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58702'>58702</a>"	165.019	"phospho<i>enol</i>pyruvate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00074'>C00074</a>"	"PHOSPHO-ENOL-PYRUVATE"
CPD-700	PWY-6075 // ERGOSTEROL-SYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52972'>52972</a>"	396.655	"ergosta-5,7,24(28)-trien-3&beta;-ol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15780'>C15780</a>"	"CPD-700"
L-CITRULLINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-4984 // ARGSYNBSUB-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57743'>57743</a>"	175.187d0	"L-citrulline"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00327'>C00327</a>"	"L-CITRULLINE"
PHENYLACETATE	ANAPHENOXI-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18401'>18401</a>"	135.142	"phenylacetate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07086'>C07086</a>"	"PHENYLACETATE"
ALPHA-METHYL-5-ALPHA-ERGOSTA	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30109'>30109</a>"	410.682	"4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-trien-3&beta;-ol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11508'>C11508</a>"	"ALPHA-METHYL-5-ALPHA-ERGOSTA"
OROTATE	PYRIMID-RNTSYN-PWY // PWY-7790 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30839'>30839</a>"	155.09	"orotate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00295'>C00295</a>"	"OROTATE"
L-PANTOATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PANTO-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15980'>15980</a>"	147.15	"(R)-pantoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00522'>C00522</a>"	"L-PANTOATE"
GLYCOLLATE	PWY0-1280 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29805'>29805</a>"	75.044	"glycolate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00160'>C00160</a>"	"GLYCOLLATE"
GLUCONATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // GLUCONSUPER-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18391'>18391</a>"	195.149	"D-gluconate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00257'>C00257</a>"	"GLUCONATE"
GAP	TRPSYN-PWY // COMPLETE-ARO-YEAST-PWY // PWY-6466 // GLUCONEO-YEAST-PWY // NONOXIPENT-PWY // PENTOSE-P-PWY // ANAGLYCOLYSIS-PWY // GLYCOLYSIS-YEAST-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:59776'>59776</a>"	168.043	"D-glyceraldehyde 3-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00118'>C00118</a>"	"GAP"
CPD-12709	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18172'>18172</a>"	77.035	"fluoroacetate"		"CPD-12709"
CARNITINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-4	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16347'>16347</a>"	161.2d0	"L-carnitine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00318'>C00318</a>"	"CARNITINE"
ALLANTOATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-5697 // PWY-5694 // ALLANTOINDEG-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17536'>17536</a>"	175.124	"allantoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00499'>C00499</a>"	"ALLANTOATE"
ACET	PWY3O-70 // PWY-5344 // HSERMETANA-PWY // PWY-6293 // PWY-821 // PWY-5768 // PWY-7268 // PWY-5754 // LYSDEGII-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY-7118 // PWY0-1313 // PWY66-21	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30089'>30089</a>"	59.044d0	"acetate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a>"	"ACET"
S-24-DINITROPHENYLGLUTATHIONE	PWY-4061 // PWY-6842-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:133977'>133977</a>"	472.406	"2,4-dinitrophenyl-S-glutathione"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11175'>C11175</a>"	"S-24-DINITROPHENYLGLUTATHIONE"
P-NITROPHENOL	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57917'>57917</a>"	138.102	"4-nitrophenol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00870'>C00870</a>"	"P-NITROPHENOL"
3-PHENYLPROPIONATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:51057'>51057</a>"	149.169	"3-phenylpropanoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05629'>C05629</a>"	"3-PHENYLPROPIONATE"
DITHIO-NITROBENZOATE	""		394.33	"5,5'-dithio-bis-2-nitrobenzoate"		"DITHIO-NITROBENZOATE"
CPD-703	PWY-7269 // PWY-7245 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66926'>66926</a>"	151.121	"4-nitrobenzaldehyde"		"CPD-703"
CPD-702	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:41214'>41214</a>"	153.137	"4-nitrobenzyl alcohol"		"CPD-702"
CPD-194	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61146'>61146</a>"	217.074	"4-nitrophenyl phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03360'>C03360</a>"	"CPD-194"
CPD-13211	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90259'>90259</a>"	301.252	"<i>p</i>-nitrophenyl-&beta;-D-glucopyranoside"		"CPD-13211"
1-CHLORO-24-DINITROBENZENE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34718'>34718</a>"	202.554	"1-chloro-2,4-dinitrobenzene"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14397'>C14397</a>"	"1-CHLORO-24-DINITROBENZENE"
CPD-12708	PWY-7269 // PWY-7245 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:14272'>14272</a>"	62.043	"fluoroacetaldehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15488'>C15488</a>"	"CPD-12708"
PROPANE-1-2-DIOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29002'>29002</a>"	76.095	"(<i>S</i>)-propane-1,2-diol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02917'>C02917</a>"	"PROPANE-1-2-DIOL"
CPD-16017	PWY-7424	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52377'>52377</a>"	661.105	"ergosteryl oleate"		"CPD-16017"
CPD-16016	PWY-7424	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52382'>52382</a>"	691.175	"lanosteryl oleate"		"CPD-16016"
CPD-13357	VALSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:49072'>49072</a>"	133.124	"(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04272'>C04272</a>"	"CPD-13357"
CARBAMATE	PWY-5703 // ALLANTOINDEG-PWY // PWY-4984 // PYRIMID-RNTSYN-PWY // PWY-7790 // ARGSYNBSUB-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:13941'>13941</a>"	60.032	"carbamate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01563'>C01563</a>"	"CARBAMATE"
CPD-22416	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33421'>33421</a>"	258.104	"barban"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19059'>C19059</a>"	"CPD-22416"
DEOXY-D-RIBOSE-1-PHOSPHATE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57259'>57259</a>"	212.096	"2-deoxy-&alpha;-D-ribose 1-phosphate"		"DEOXY-D-RIBOSE-1-PHOSPHATE"
CPD-2961	GLUCONSUPER-PWY // OXIDATIVEPENT-PWY // PENTOSE-P-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58759'>58759</a>"	273.113	"D-gluconate 6-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00345'>C00345</a>"	"CPD-2961"
CPD-13829	PWY-7269 // PWY-7245 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63152'>63152</a>"	164.158	"&alpha;-D-rhamnopyranose"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01684'>C01684</a>"	"CPD-13829"
CPD-10543	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:42606'>42606</a>"	164.158	"&alpha;-D-quinovopyranose"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08352'>C08352</a>"	"CPD-10543"
VAL	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PWY-5057 // VALSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57762'>57762</a>"	117.147d0	"L-valine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00183'>C00183</a>"	"VAL"
TRP	TRPSYN-PWY // COMPLETE-ARO-YEAST-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PWY-5651 // NADSYN-PWY // PWY-5081	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57912'>57912</a>"	204.228d0	"L-tryptophan"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00078'>C00078</a>"	"TRP"
CPD-8343	TRIGLSYN-PWY // PWY-7416	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72998'>72998</a>"	495.635	"1-palmitoyl-<i>sn</i>-glycero-3-phosphocholine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04102'>C04102</a>"	"CPD-8343"
MET	PWY-7286 // PWY-7283 // PWY-7382 // PWY-7381 // PWY-7386 // PWY-2201 // HSERMETANA-PWY // PWY0-1507 // PWY-7800 // PWY0-501 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PWY-5082 // PWY-5041 // METHIONINE-DEG1-PWY // SAM-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57844'>57844</a>"	149.207d0	"L-methionine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a>"	"MET"
LYS	LYSINE-AMINOAD-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // LYSDEGII-PWY // TRNA-CHARGING-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32551'>32551</a>"	147.197	"L-lysine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00047'>C00047</a>"	"LYS"
